graph,family,n_nodes,n_edges,graph_seed,graph_params,seed,init_seed,stress_seed,instance_id,feat_n,feat_m,feat_density,feat_deg_mean,feat_deg_std,feat_deg_max,feat_n_cc,feat_lcc_ratio,feat_avg_clustering,algo,overlap,edge_cv,stress,aspect,score
grid_7x7,grid,49,84,,"rows=7,cols=7",0,10000,10000,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,Eades,0.0,0.28506122824230834,0.004994799182162022,0.19632799480866747,0.38422418548307447
grid_7x7,grid,49,84,,"rows=7,cols=7",0,10000,10000,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,Adaptive-Eades,0.0,0.11726437403469689,0.002954147697236219,0.0016166630476760811,0.11866353509798216
grid_7x7,grid,49,84,,"rows=7,cols=7",0,10000,10000,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,FR,0.0,0.12600600155172728,0.002364556887762068,0.03900888198704951,0.14598335392280445
grid_7x7,grid,49,84,,"rows=7,cols=7",0,10000,10000,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,KK,0.0,0.01263266809024053,0.002844032960017774,7.723431151444718e-06,0.013205336397819808
grid_7x7,grid,49,84,,"rows=7,cols=7",1,10001,10001,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,Eades,0.0,0.2101387386121463,0.005639365727096055,0.08689460596824815,0.2547139147416896
grid_7x7,grid,49,84,,"rows=7,cols=7",1,10001,10001,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,Adaptive-Eades,0.0,0.1190293280907407,0.00297499996399666,0.006796134551008782,0.12302239535904441
grid_7x7,grid,49,84,,"rows=7,cols=7",1,10001,10001,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,FR,0.0,0.1260184609671483,0.002431479081333135,0.012654014356014293,0.1328317639614221
grid_7x7,grid,49,84,,"rows=7,cols=7",1,10001,10001,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,KK,0.0,0.01263213695621521,0.004387232651146968,3.3580519575075614e-06,0.013511262512423357
grid_7x7,grid,49,84,,"rows=7,cols=7",2,10002,10002,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,Eades,0.0,0.28800188910635593,0.005947386204926981,0.26850857935587624,0.42344565602527945
grid_7x7,grid,49,84,,"rows=7,cols=7",2,10002,10002,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,Adaptive-Eades,0.0,0.12056073658991473,0.002440281637898833,0.011385436056713494,0.12674151094585123
grid_7x7,grid,49,84,,"rows=7,cols=7",2,10002,10002,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,FR,0.0,0.12644800884607493,0.0025955221886944033,0.003671119372142519,0.1288026729698851
grid_7x7,grid,49,84,,"rows=7,cols=7",2,10002,10002,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,KK,0.0,0.012632359397897714,0.0029762468442374773,8.394152833176077e-07,0.013228028474386868
grid_7x7,grid,49,84,,"rows=7,cols=7",3,10003,10003,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,Eades,0.0,0.29417540233542416,0.006178116317632903,0.45919129852758556,0.5250066748627435
grid_7x7,grid,49,84,,"rows=7,cols=7",3,10003,10003,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,Adaptive-Eades,0.0,0.1205187872108059,0.0024642162912212134,0.0045202313449060815,0.12327174614150319
grid_7x7,grid,49,84,,"rows=7,cols=7",3,10003,10003,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,FR,0.0,0.12695631523430623,0.0032003087494999077,0.0810461259421908,0.1681194399553016
grid_7x7,grid,49,84,,"rows=7,cols=7",3,10003,10003,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,KK,0.0,0.012632361596956928,0.002869520810348775,5.294195064240774e-07,0.013206530468779896
grid_7x7,grid,49,84,,"rows=7,cols=7",4,10004,10004,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,Eades,0.0,0.24128248573860886,0.004631730334007219,0.0985439815955488,0.2914808226031847
grid_7x7,grid,49,84,,"rows=7,cols=7",4,10004,10004,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,Adaptive-Eades,0.0,0.1166442158464655,0.002480715531574964,0.0038771512054472765,0.11907893455550413
grid_7x7,grid,49,84,,"rows=7,cols=7",4,10004,10004,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,FR,0.0,0.12634093831623994,0.002367546728121381,0.04017496876480333,0.14690193204426588
