graph,family,n_nodes,n_edges,graph_seed,graph_params,init_seed,stress_seed,instance_id,feat_n,feat_m,feat_density,feat_deg_mean,feat_deg_std,feat_deg_max,feat_n_cc,feat_lcc_ratio,feat_avg_clustering,score_Eades,score_Adaptive-Eades,score_FR,score_KK,best_algo
grid_10x10,grid,100,180,,"rows=10,cols=10",10108,10108,grid_10x10|gseed=None,100,180,0.03636363636363636,3.6,0.5656854249492381,4.0,1,1.0,0.0,1.1994555417756831,0.1529304270966912,0.1984755655659009,0.01378241873786116,KK
grid_10x10,grid,100,180,,"rows=10,cols=10",10109,10109,grid_10x10|gseed=None,100,180,0.03636363636363636,3.6,0.5656854249492381,4.0,1,1.0,0.0,0.7865412632890778,0.5494149565768928,0.24126348109582485,0.013692654163811985,KK
grid_12x12,grid,144,264,,"rows=12,cols=12",10200,10200,grid_12x12|gseed=None,144,264,0.02564102564102564,3.6666666666666665,0.5270462766947299,4.0,1,1.0,0.0,3.1346389446798684,0.16786218442929096,0.18344532832632832,0.01366459449810012,KK
grid_12x12,grid,144,264,,"rows=12,cols=12",10201,10201,grid_12x12|gseed=None,144,264,0.02564102564102564,3.6666666666666665,0.5270462766947299,4.0,1,1.0,0.0,3.533618005566038,0.1691115950774891,0.20857814814069955,0.01363214480592631,KK
grid_12x12,grid,144,264,,"rows=12,cols=12",10202,10202,grid_12x12|gseed=None,144,264,0.02564102564102564,3.6666666666666665,0.5270462766947299,4.0,1,1.0,0.0,5.524534336575153,3.2416719665689895,10.48045101084424,0.013699073977763657,KK
grid_12x12,grid,144,264,,"rows=12,cols=12",10203,10203,grid_12x12|gseed=None,144,264,0.02564102564102564,3.6666666666666665,0.5270462766947299,4.0,1,1.0,0.0,2.9487326634808415,0.17729079289471386,0.2242379750001036,0.013669840450177904,KK
grid_12x12,grid,144,264,,"rows=12,cols=12",10204,10204,grid_12x12|gseed=None,144,264,0.02564102564102564,3.6666666666666665,0.5270462766947299,4.0,1,1.0,0.0,1.3943890994229724,2.5648190708963154,0.21418648836803278,0.013705283637775475,KK
grid_12x12,grid,144,264,,"rows=12,cols=12",10205,10205,grid_12x12|gseed=None,144,264,0.02564102564102564,3.6666666666666665,0.5270462766947299,4.0,1,1.0,0.0,2.702254773699947,3.6022074823059738,0.27573455921066,0.013644959167260709,KK
grid_12x12,grid,144,264,,"rows=12,cols=12",10206,10206,grid_12x12|gseed=None,144,264,0.02564102564102564,3.6666666666666665,0.5270462766947299,4.0,1,1.0,0.0,4.698116064311337,2.2517170135034177,0.25231209199799637,0.013692589203405043,KK
grid_12x12,grid,144,264,,"rows=12,cols=12",10207,10207,grid_12x12|gseed=None,144,264,0.02564102564102564,3.6666666666666665,0.5270462766947299,4.0,1,1.0,0.0,3.264112470810973,0.1743943164003415,0.1813816813094239,0.013679880889250392,KK
grid_12x12,grid,144,264,,"rows=12,cols=12",10208,10208,grid_12x12|gseed=None,144,264,0.02564102564102564,3.6666666666666665,0.5270462766947299,4.0,1,1.0,0.0,1.0128039763011192,2.9135571981354813,11.107528377252137,0.01364292142711028,KK
grid_12x12,grid,144,264,,"rows=12,cols=12",10209,10209,grid_12x12|gseed=None,144,264,0.02564102564102564,3.6666666666666665,0.5270462766947299,4.0,1,1.0,0.0,0.7707057621092837,0.16600205333997564,0.1930814003763801,0.013770618141630248,KK
tree_n50_rep0,tree,50,49,1395401163,random_labeled_tree,10300,10300,tree_n50_rep0|gseed=1395401163,50,49,0.04,1.96,1.0384603988597736,5.0,1,1.0,0.0,0.44305519116908315,1.1505144639799376,3.370593270701039,0.14902467096981803,KK
tree_n50_rep0,tree,50,49,1395401163,random_labeled_tree,10301,10301,tree_n50_rep0|gseed=1395401163,50,49,0.04,1.96,1.0384603988597736,5.0,1,1.0,0.0,0.6330002711531254,1.6411771601957508,3.7859032263953356,0.12010988163236141,KK
tree_n50_rep0,tree,50,49,1395401163,random_labeled_tree,10302,10302,tree_n50_rep0|gseed=1395401163,50,49,0.04,1.96,1.0384603988597736,5.0,1,1.0,0.0,0.606918509236358,1.407757468692259,3.3261823815378206,0.14103526639362285,KK
tree_n50_rep0,tree,50,49,1395401163,random_labeled_tree,10303,10303,tree_n50_rep0|gseed=1395401163,50,49,0.04,1.96,1.0384603988597736,5.0,1,1.0,0.0,0.504625563020926,1.651694714887546,3.264691432082123,0.2608523935942817,KK
tree_n50_rep0,tree,50,49,1395401163,random_labeled_tree,10304,10304,tree_n50_rep0|gseed=1395401163,50,49,0.04,1.96,1.0384603988597736,5.0,1,1.0,0.0,0.4698304859411875,0.8482586453624037,3.532583137918954,0.21896913927118805,KK
tree_n50_rep0,tree,50,49,1395401163,random_labeled_tree,10305,10305,tree_n50_rep0|gseed=1395401163,50,49,0.04,1.96,1.0384603988597736,5.0,1,1.0,0.0,0.4689643668188513,0.9783514845801689,4.055341906280097,0.12036500678629074,KK
tree_n50_rep0,tree,50,49,1395401163,random_labeled_tree,10306,10306,tree_n50_rep0|gseed=1395401163,50,49,0.04,1.96,1.0384603988597736,5.0,1,1.0,0.0,0.4804085460416095,0.9169891090222855,2.1057746524697647,0.2480215430497595,KK
tree_n50_rep0,tree,50,49,1395401163,random_labeled_tree,10307,10307,tree_n50_rep0|gseed=1395401163,50,49,0.04,1.96,1.0384603988597736,5.0,1,1.0,0.0,0.4950245210462744,1.0701284201024766,2.974600159622736,0.20571335720591163,KK
tree_n50_rep0,tree,50,49,1395401163,random_labeled_tree,10308,10308,tree_n50_rep0|gseed=1395401163,50,49,0.04,1.96,1.0384603988597736,5.0,1,1.0,0.0,0.6121005012331076,0.680486907176951,3.3080260212321875,0.2520833125457246,KK
